event_id,timestamp,threat_type,region,device_type,failed_logins,network_packets,connections,port_scans,data_transfer,prediction,anomaly_score,risk_score,severity,threat_detected
EVT000024,2026-08-11 20:49:01.735196,Unauthorized Access,Oceania,Desktop,2,180,63,0,139,1,-0.18911892834441463,8.273886094997488,Low,Normal
EVT000025,2026-08-11 20:57:01.735196,DDoS,South America,Router,1,835,5,0,139,1,-0.13609037168907573,22.385158347535615,Low,Normal
EVT000026,2026-08-11 21:05:01.735196,Phishing,Europe,Firewall,4,283,21,0,289,1,-0.18418654035367726,9.586429263856996,Low,Normal
EVT000027,2026-08-11 21:13:01.735196,Brute Force,Africa,Router,5,286,74,0,268,1,-0.18671774595771912,8.912857632670827,Low,Normal
EVT000028,2026-08-11 21:21:01.735196,DDoS,Asia,Laptop,2,610,23,0,208,1,-0.20465779726113426,4.138883681005583,Low,Normal
EVT000029,2026-08-11 21:29:01.735196,Phishing,Africa,Router,2,437,5,0,450,1,-0.14194503663646102,20.827190787586428,Low,Normal
EVT000030,2026-08-11 21:37:01.735196,Malware,North America,Laptop,3,863,20,0,69,1,-0.17470596223912666,12.109277844394574,Low,Normal
EVT000031,2026-08-11 21:45:01.735196,Brute Force,South America,Firewall,5,332,23,0,140,1,-0.17559617014715262,11.872387252912633,Low,Normal
EVT000032,2026-08-11 21:53:01.735196,DDoS,Africa,Router,8,572,29,0,393,1,-0.10140707336336774,31.614628206032886,Low,Normal
EVT000033,2026-08-11 22:01:01.735196,Unauthorized Access,North America,Server,4,679,37,0,313,1,-0.2042750543254288,4.2407342707468665,Low,Normal
EVT000034,2026-08-11 22:09:01.735196,Unauthorized Access,Asia,Desktop,5,982,90,0,247,1,-0.1334255387303403,23.094289158556215,Low,Normal
EVT000035,2026-08-11 22:17:01.735196,DDoS,Europe,Router,5,708,32,0,490,1,-0.14182335686471836,20.859570631485393,Low,Normal
EVT000036,2026-08-11 22:25:01.735196,Brute Force,Oceania,Desktop,73,14435,457,1,1176,-1,0.10491235924076725,86.51768173225061,High,Suspicious
EVT000037,2026-08-11 22:33:01.735196,Phishing,Africa,Server,5,706,64,0,200,1,-0.19251626087363588,7.369831991397474,Low,Normal
EVT000038,2026-08-11 22:41:01.735196,Ransomware,Oceania,Firewall,2,422,22,0,232,1,-0.19808090573714704,5.889040817538736,Low,Normal
EVT000039,2026-08-11 22:49:01.735196,Phishing,Asia,Laptop,3,953,27,0,164,1,-0.1796741560255138,10.78720650123614,Low,Normal
EVT000040,2026-08-11 22:57:01.735196,Unauthorized Access,North America,Firewall,3,345,52,0,179,1,-0.20881327793967708,3.0330810174292995,Low,Normal
EVT000041,2026-08-11 23:05:01.735196,Malware,North America,Desktop,8,499,18,0,480,1,-0.07393286318452241,38.92570895591989,Low,Normal
EVT000042,2026-08-11 23:13:01.735196,Ransomware,Europe,Server,0,453,70,0,456,1,-0.1178489066807612,27.23934060805841,Low,Normal
EVT000043,2026-08-11 23:21:01.735196,Unauthorized Access,North America,Server,0,764,62,0,134,1,-0.14722944914010572,19.42097141755311,Low,Normal
EVT000044,2026-08-11 23:29:01.735196,Malware,Africa,Laptop,3,882,58,0,110,1,-0.1922091775426335,7.451549027675785,Low,Normal
EVT000045,2026-08-11 23:37:01.735196,DDoS,Africa,Laptop,4,976,98,0,320,1,-0.1380473799480964,21.864384672268592,Low,Normal
EVT000046,2026-08-11 23:45:01.735196,Unauthorized Access,South America,Laptop,1,469,34,0,129,1,-0.1907431016896009,7.841682133494199,Low,Normal
EVT000047,2026-08-11 23:53:01.735196,Brute Force,Oceania,Laptop,2,840,94,1,288,1,-0.02990337685101696,50.64226524142741,Medium,Normal
EVT000048,2026-08-12 00:01:01.735196,DDoS,Oceania,Desktop,2,733,5,0,105,1,-0.15292174420851662,17.906211625499832,Low,Normal
EVT000049,2026-08-12 00:09:01.735196,Unauthorized Access,South America,Server,6,889,97,0,85,1,-0.11098140762216252,29.06683045545893,Low,Normal
EVT000050,2026-08-12 00:17:01.735196,Malware,Asia,Server,2,384,82,0,56,1,-0.1718207777929905,12.877045737509892,Low,Normal
EVT000051,2026-08-12 00:25:01.735196,Phishing,Africa,Laptop,0,849,66,0,213,1,-0.1332986128700685,23.128065023545798,Low,Normal
EVT000052,2026-08-12 00:33:01.735196,Brute Force,Oceania,Server,62,12421,656,1,722,-1,0.1067592465258359,87.00915144108589,High,Suspicious
EVT000053,2026-08-12 00:41:01.735196,Malware,Asia,Server,0,857,73,0,189,1,-0.13416476973483327,22.897574583997507,Low,Normal
EVT000054,2026-08-12 00:49:01.735196,Ransomware,Oceania,Router,5,891,84,0,485,1,-0.1246841552743913,25.42043283643265,Low,Normal
EVT000055,2026-08-12 00:57:01.735196,Phishing,Oceania,Firewall,5,790,47,0,332,1,-0.18811846950033057,8.540115236742542,Low,Normal
EVT000056,2026-08-12 01:05:01.735196,Phishing,South America,Router,3,111,99,0,262,1,-0.13270204899637222,23.286814870208072,Low,Normal
EVT000057,2026-08-12 01:13:01.735196,Malware,Oceania,Router,2,875,97,0,99,1,-0.155959463206868,17.09785321418094,Low,Normal
EVT000058,2026-08-12 01:21:01.735196,DDoS,South America,Server,2,925,79,0,429,1,-0.15813566736489876,16.51874996702541,Low,Normal
EVT000059,2026-08-12 01:29:01.735196,Brute Force,North America,Server,5,198,40,0,496,1,-0.13562459369277619,22.509105151476447,Low,Normal
EVT000060,2026-08-12 01:37:01.735196,Ransomware,North America,Laptop,4,378,93,0,295,1,-0.17628636406020087,11.688721793613583,Low,Normal
EVT000061,2026-08-12 01:45:01.735196,Unauthorized Access,South America,Laptop,5,495,65,0,85,1,-0.18511196999318474,9.340165921663173,Low,Normal
EVT000062,2026-08-12 01:53:01.735196,Ransomware,South America,Laptop,5,168,16,0,388,1,-0.14781813244194936,19.26431864654086,Low,Normal
EVT000063,2026-08-12 02:01:01.735196,Malware,South America,Firewall,3,792,46,1,407,1,-0.05188494397402743,44.79281547747626,Medium,Normal
EVT000064,2026-08-12 02:09:01.735196,Brute Force,Africa,Server,4,687,13,0,410,1,-0.17342306646372557,12.450665441948448,Low,Normal
EVT000065,2026-08-12 02:17:01.735196,Phishing,Europe,Router,1,752,44,0,443,1,-0.16351612642012875,15.086971933437535,Low,Normal
EVT000066,2026-08-12 02:25:01.735196,Phishing,South America,Server,3,747,69,0,154,1,-0.20219498328292612,4.794255819073244,Low,Normal
EVT000067,2026-08-12 02:33:01.735196,Malware,South America,Desktop,4,544,58,0,211,1,-0.21142673632112058,2.337621343108447,Low,Normal
EVT000068,2026-08-12 02:41:01.735196,DDoS,Asia,Router,2,752,96,0,157,1,-0.17024820791308748,13.295517653607543,Low,Normal
EVT000069,2026-08-12 02:49:01.735196,Brute Force,Africa,Router,1,460,43,0,470,1,-0.16336552550820932,15.127047896345374,Low,Normal
EVT000070,2026-08-12 02:57:01.735196,Ransomware,Europe,Server,2,508,60,0,126,1,-0.2108071405679588,2.5025001350433214,Low,Normal
EVT000071,2026-08-12 03:05:01.735196,Unauthorized Access,North America,Desktop,1,771,49,0,158,1,-0.18759676597934644,8.67894421652345,Low,Normal
EVT000072,2026-08-12 03:13:01.735196,Unauthorized Access,South America,Firewall,0,312,79,0,173,1,-0.13481234267672804,22.725250865178463,Low,Normal
EVT000073,2026-08-12 03:21:01.735196,Unauthorized Access,Europe,Server,6,985,7,0,450,1,-0.07936696422262257,37.47965641304513,Low,Normal
EVT000074,2026-08-12 03:29:01.735196,Malware,Europe,Server,3,507,32,0,131,1,-0.2138808743287341,1.6845579418957504,Low,Normal
EVT000075,2026-08-12 03:37:01.735196,Brute Force,Europe,Router,2,277,32,0,50,1,-0.17996381808609896,10.710125387663401,Low,Normal
EVT000076,2026-08-12 03:45:01.735196,Unauthorized Access,Europe,Firewall,2,300,37,0,470,1,-0.1744128408135247,12.187279519352566,Low,Normal
EVT000077,2026-08-12 03:53:01.735196,Unauthorized Access,North America,Router,6,549,14,0,251,1,-0.15437282122550944,17.52006981554497,Low,Normal
EVT000078,2026-08-12 04:01:01.735196,Unauthorized Access,Africa,Desktop,2,473,69,0,248,1,-0.20944161693004854,2.8658755885196316,Low,Normal
EVT000079,2026-08-12 04:09:01.735196,Phishing,Oceania,Desktop,2,953,63,0,470,1,-0.14493223898486607,20.03227521246072,Low,Normal
EVT000080,2026-08-12 04:17:01.735196,DDoS,Europe,Desktop,1,610,5,0,320,1,-0.14850682534062692,19.081052617733146,Low,Normal
EVT000081,2026-08-12 04:25:01.735196,Malware,North America,Router,9,977,5,1,214,-1,0.02386540199494458,64.95051583013141,Medium,Suspicious
EVT000082,2026-08-12 04:33:01.735196,Unauthorized Access,North America,Server,3,194,76,0,259,1,-0.18896437250997838,8.315014490630118,Low,Normal
EVT000083,2026-08-12 04:41:01.735196,Unauthorized Access,Asia,Laptop,6,924,21,0,312,1,-0.13118505288776144,23.690498214519735,Low,Normal
EVT000084,2026-08-12 04:49:01.735196,Malware,Europe,Desktop,8,434,95,0,491,1,-0.06387472485852141,41.60225037480836,Medium,Normal
EVT000085,2026-08-12 04:57:01.735196,DDoS,Africa,Desktop,4,662,85,0,397,1,-0.1823711679358136,10.069512644661092,Low,Normal
EVT000086,2026-08-12 05:05:01.735196,Brute Force,Africa,Server,3,168,38,0,459,1,-0.17065988791189046,13.185966707656075,Low,Normal
EVT000087,2026-08-12 05:13:01.735196,Unauthorized Access,Asia,Server,3,860,27,0,104,1,-0.19009213623868793,8.014908622846601,Low,Normal
EVT000088,2026-08-12 05:21:01.735196,Phishing,Asia,Server,3,380,71,0,164,1,-0.2020695784728801,4.827626921889392,Low,Normal
EVT000089,2026-08-12 05:29:01.735196,Brute Force,Africa,Laptop,2,502,25,0,101,1,-0.20308923704634319,4.556288596988489,Low,Normal
EVT000090,2026-08-12 05:37:01.735196,Unauthorized Access,Europe,Desktop,1,937,5,0,21,1,-0.0799576088008973,37.32248173256698,Low,Normal
EVT000091,2026-08-12 05:45:01.735196,Brute Force,Asia,Firewall,2,912,31,0,258,1,-0.18890035602825012,8.332049727100697,Low,Normal
EVT000092,2026-08-12 05:53:01.735196,Malware,North America,Router,3,147,65,0,301,1,-0.18482825452916796,9.415664604024405,Low,Normal
EVT000093,2026-08-12 06:01:01.735196,Malware,North America,Desktop,3,738,60,0,483,1,-0.17665461754329903,11.590726949218354,Low,Normal
EVT000094,2026-08-12 06:09:01.735196,Brute Force,Asia,Laptop,3,798,60,0,12,1,-0.1577894818025949,16.610872382336826,Low,Normal
EVT000095,2026-08-12 06:17:01.735196,Unauthorized Access,Oceania,Router,3,605,42,0,24,1,-0.17572185035508214,11.838942864780856,Low,Normal
EVT000096,2026-08-12 06:25:01.735196,Malware,North America,Laptop,2,138,61,0,95,1,-0.17520446379994647,11.9766230695576,Low,Normal
EVT000097,2026-08-12 06:33:01.735196,Ransomware,Africa,Firewall,1,244,17,0,77,1,-0.15040217998515049,18.576685403331663,Low,Normal
EVT000098,2026-08-12 06:41:01.735196,Phishing,North America,Desktop,4,722,12,0,245,1,-0.18334291171117012,9.810924784861506,Low,Normal
EVT000099,2026-08-12 06:49:01.735196,Malware,Asia,Laptop,1,617,56,0,235,1,-0.19721151359161038,6.120392188077141,Low,Normal
EVT000100,2026-08-12 06:57:01.735196,Brute Force,North America,Desktop,2,476,37,0,286,1,-0.2143527642326684,1.5589847163048398,Low,Normal
EVT000101,2026-08-12 07:05:01.735196,DDoS,Africa,Laptop,1,615,98,0,327,1,-0.1587306137041274,16.360430557672586,Low,Normal
EVT000102,2026-08-12 07:13:01.735196,Phishing,Europe,Laptop,1,236,7,0,49,1,-0.11798984031065213,27.201837176957028,Low,Normal
EVT000103,2026-08-12 07:21:01.735196,Malware,Europe,Desktop,5,217,98,0,444,1,-0.1360141553812408,22.405440043621226,Low,Normal
EVT000104,2026-08-12 07:29:01.735196,DDoS,Oceania,Laptop,5,509,72,0,234,1,-0.19682268058219504,6.223863389307377,Low,Normal
EVT000105,2026-08-12 07:37:01.735196,Brute Force,North America,Router,4,993,15,0,342,1,-0.14977457454253318,18.7436956300197,Low,Normal
EVT000106,2026-08-12 07:45:01.735196,DDoS,Europe,Laptop,1,789,14,0,147,1,-0.16481593081662455,14.741084832771906,Low,Normal
EVT000107,2026-08-12 07:53:01.735196,DDoS,Asia,Desktop,4,884,13,0,417,1,-0.1628200026317128,15.272215374318865,Low,Normal
EVT000108,2026-08-12 08:01:01.735196,Phishing,Europe,Server,3,335,54,0,385,1,-0.19900521836942414,5.643074718832764,Low,Normal
EVT000109,2026-08-12 08:09:01.735196,DDoS,Asia,Desktop,5,448,76,0,238,1,-0.1887129259007448,8.38192620355745,Low,Normal
EVT000110,2026-08-12 08:17:01.735196,Ransomware,Asia,Firewall,1,824,41,0,388,1,-0.16581074865321266,14.476356802834806,Low,Normal
EVT000111,2026-08-12 08:25:01.735196,Unauthorized Access,Asia,Server,5,715,18,0,134,1,-0.16825326945258612,13.82638482252114,Low,Normal
EVT000112,2026-08-12 08:33:01.735196,Ransomware,Europe,Firewall,3,324,70,0,113,1,-0.19439980294251274,6.868608186537335,Low,Normal
EVT000113,2026-08-12 08:41:01.735196,Ransomware,North America,Server,3,278,76,0,24,1,-0.15449255832665681,17.488206929968012,Low,Normal
EVT000114,2026-08-12 08:49:01.735196,Ransomware,Oceania,Desktop,8,295,90,0,14,1,-0.05386642382378837,44.26552973963071,Medium,Normal
EVT000115,2026-08-12 08:57:01.735196,Unauthorized Access,North America,Router,3,327,92,0,24,1,-0.1420783471306229,20.791715926570213,Low,Normal
EVT000116,2026-08-12 09:05:01.735196,Phishing,Asia,Server,2,943,49,0,104,1,-0.17567683857647176,11.85092081595668,Low,Normal
EVT000117,2026-08-12 09:13:01.735196,Malware,Africa,Firewall,6,233,76,0,355,1,-0.1502977426599048,18.604476910829167,Low,Normal
EVT000118,2026-08-12 09:21:01.735196,Brute Force,Oceania,Laptop,3,722,64,0,365,1,-0.20069484138570576,5.193454139078514,Low,Normal
EVT000119,2026-08-12 09:29:01.735196,Malware,Oceania,Desktop,2,226,96,0,402,1,-0.15952090724885298,16.15012788167238,Low,Normal
EVT000120,2026-08-12 09:37:01.735196,Brute Force,North America,Desktop,5,504,94,0,191,1,-0.17047509077484801,13.235142526814128,Low,Normal
EVT000121,2026-08-12 09:45:01.735196,Brute Force,South America,Desktop,3,760,51,0,146,1,-0.20563919749228582,3.8777261703364854,Low,Normal
EVT000122,2026-08-12 09:53:01.735196,Ransomware,Africa,Laptop,3,343,29,0,303,1,-0.19888323673983344,5.675534889230207,Low,Normal
EVT000123,2026-08-12 10:01:01.735196,Brute Force,South America,Laptop,3,975,55,0,34,1,-0.15005478361035757,18.669130024370656,Low,Normal
EVT000124,2026-08-12 10:09:01.735196,Ransomware,South America,Firewall,4,761,30,0,478,1,-0.1665818630035657,14.271157845480658,Low,Normal
EVT000125,2026-08-12 10:17:01.735196,Ransomware,Asia,Laptop,6,426,5,0,487,1,-0.09659920871455385,32.89403483694928,Low,Normal
EVT000126,2026-08-12 10:25:01.735196,Unauthorized Access,Africa,Desktop,3,384,53,0,295,1,-0.2080747267701369,3.2296146831209684,Low,Normal
EVT000127,2026-08-12 10:33:01.735196,DDoS,Oceania,Laptop,5,212,98,0,328,1,-0.15156084300524303,18.268357016576907,Low,Normal
EVT000128,2026-08-12 10:41:01.735196,Brute Force,Europe,Server,1,154,7,0,467,1,-0.10184036572064292,31.499326059338717,Low,Normal
EVT000129,2026-08-12 10:49:01.735196,Brute Force,Oceania,Firewall,8,542,76,0,248,1,-0.1072180742658313,30.068279955836786,Low,Normal
EVT000130,2026-08-12 10:57:01.735196,Phishing,Oceania,Desktop,10,834,59,0,16,1,-0.0402188649018117,47.897241249002505,Medium,Normal
EVT000131,2026-08-12 11:05:01.735196,Phishing,Europe,Server,3,647,33,0,11,1,-0.16514905787019474,14.652437378567784,Low,Normal
EVT000132,2026-08-12 11:13:01.735196,DDoS,Africa,Server,123,12083,799,1,1553,-1,0.11229447541319038,88.4821148165978,High,Suspicious
EVT000133,2026-08-12 11:21:01.735196,Brute Force,Africa,Laptop,3,826,85,0,218,1,-0.19105021021317065,7.759958393296354,Low,Normal
EVT000134,2026-08-12 11:29:01.735196,DDoS,South America,Router,3,857,26,0,13,1,-0.14500734807750149,20.012288154134612,Low,Normal
EVT000135,2026-08-12 11:37:01.735196,Brute Force,Oceania,Server,4,227,89,0,50,1,-0.15188672727131897,18.18163691911498,Low,Normal
EVT000136,2026-08-12 11:45:01.735196,Malware,South America,Laptop,4,973,90,0,322,1,-0.14815383668593157,19.17498538382441,Low,Normal
EVT000137,2026-08-12 11:53:01.735196,Brute Force,Africa,Router,2,848,57,0,182,1,-0.19803564035097898,5.901086255471082,Low,Normal
EVT000138,2026-08-12 12:01:01.735196,Phishing,North America,Router,4,921,69,0,301,1,-0.18169004450766968,10.25076438406994,Low,Normal
EVT000139,2026-08-12 12:09:01.735196,DDoS,Oceania,Firewall,2,110,40,0,304,1,-0.16950407168768417,13.493537541983763,Low,Normal
EVT000140,2026-08-12 12:17:01.735196,Unauthorized Access,Asia,Router,4,411,37,0,248,1,-0.20646261247003622,3.658609647830046,Low,Normal
EVT000141,2026-08-12 12:25:01.735196,Brute Force,Africa,Router,2,606,77,0,82,1,-0.19562832248247286,6.541690488048653,Low,Normal
EVT000142,2026-08-12 12:33:01.735196,Unauthorized Access,South America,Laptop,2,715,46,0,300,1,-0.2080969811477304,3.223692636570203,Low,Normal
EVT000143,2026-08-12 12:41:01.735196,DDoS,South America,Desktop,5,143,63,0,454,1,-0.15031681655308804,18.599401213570918,Low,Normal
EVT000144,2026-08-12 12:49:01.735196,Brute Force,Asia,Firewall,3,691,92,0,488,1,-0.1500727061867307,18.664360700620968,Low,Normal
EVT000145,2026-08-12 12:57:01.735196,Phishing,Asia,Router,5,754,63,1,374,1,-0.04377397277969486,46.95120201436869,Medium,Normal
EVT000146,2026-08-12 13:05:01.735196,Ransomware,Europe,Desktop,1,115,75,1,291,1,-0.030802503877171095,50.40300120982004,Medium,Normal
EVT000147,2026-08-12 13:13:01.735196,Unauthorized Access,North America,Laptop,2,728,11,0,185,1,-0.18291058374357,9.925970300673741,Low,Normal
EVT000148,2026-08-12 13:21:01.735196,DDoS,Oceania,Laptop,1,576,86,0,381,1,-0.1704445674372591,13.243265001834006,Low,Normal
EVT000149,2026-08-12 13:29:01.735196,Malware,South America,Router,3,258,28,0,197,1,-0.1965294160082512,6.301903157046929,Low,Normal
EVT000150,2026-08-12 13:37:01.735196,DDoS,South America,Server,4,138,19,0,13,1,-0.12259211281960308,25.977140061848196,Low,Normal
EVT000151,2026-08-12 13:45:01.735196,DDoS,South America,Firewall,5,410,46,1,260,1,-0.05501751205114269,43.95921705855092,Medium,Normal
EVT000152,2026-08-12 13:53:01.735196,Malware,Africa,Router,7,344,61,0,245,1,-0.1296329739333249,24.103517351092513,Low,Normal
EVT000153,2026-08-12 14:01:01.735196,Ransomware,Asia,Router,5,102,49,0,167,1,-0.1503924167170298,18.579283477713002,Low,Normal
EVT000154,2026-08-12 14:09:01.735196,DDoS,Africa,Firewall,5,498,53,0,461,1,-0.17585726936821983,11.802906912020985,Low,Normal
EVT000155,2026-08-12 14:17:01.735196,Phishing,South America,Laptop,3,809,43,0,311,1,-0.20798028551102005,3.2547461670482427,Low,Normal
EVT000156,2026-08-12 14:25:01.735196,DDoS,North America,Router,4,683,24,0,319,1,-0.19334037428545725,7.150529610667701,Low,Normal
EVT000157,2026-08-12 14:33:01.735196,Brute Force,South America,Laptop,3,317,45,0,268,1,-0.2105243939639307,2.577740996940691,Low,Normal
EVT000158,2026-08-12 14:41:01.735196,Phishing,Africa,Firewall,4,119,65,0,428,1,-0.16123190443660962,15.694819484412239,Low,Normal
EVT000159,2026-08-12 14:49:01.735196,DDoS,Africa,Firewall,130,6290,916,1,1651,-1,0.11939916141263462,90.37272177877806,High,Suspicious
EVT000160,2026-08-12 14:57:01.735196,Malware,Oceania,Router,1,748,71,1,341,1,-0.047567196927929656,45.94179836383102,Medium,Normal
EVT000161,2026-08-12 15:05:01.735196,DDoS,Europe,Server,0,562,44,0,404,1,-0.14403330887882337,20.271486842240094,Low,Normal
EVT000162,2026-08-12 15:13:01.735196,Ransomware,Europe,Router,1,137,76,0,185,1,-0.1588757007842207,16.321821864231627,Low,Normal
EVT000163,2026-08-12 15:21:01.735196,DDoS,Asia,Router,1,415,52,0,462,1,-0.1619338895981412,15.508016290880159,Low,Normal
EVT000164,2026-08-12 15:29:01.735196,Malware,South America,Server,3,214,62,0,49,1,-0.17585227075397863,11.80423707846133,Low,Normal
EVT000165,2026-08-12 15:37:01.735196,Malware,Asia,Laptop,5,452,63,0,178,1,-0.19762535661816377,6.010265645213346,Low,Normal
EVT000166,2026-08-12 15:45:01.735196,Brute Force,North America,Server,3,766,42,0,142,1,-0.2057046633876794,3.8603052346855433,Low,Normal
EVT000167,2026-08-12 15:53:01.735196,Phishing,North America,Firewall,2,634,46,0,372,1,-0.20541619946231715,3.937067516040465,Low,Normal
EVT000168,2026-08-12 16:01:01.735196,Phishing,South America,Server,2,357,82,0,21,1,-0.14984143969126384,18.72590234320487,Low,Normal
EVT000169,2026-08-12 16:09:01.735196,Phishing,South America,Desktop,0,323,17,0,122,1,-0.12102291722016323,26.39471405815932,Low,Normal
EVT000170,2026-08-12 16:17:01.735196,Phishing,Africa,Firewall,2,547,92,0,335,1,-0.18474007814805837,9.439128959808556,Low,Normal
EVT000171,2026-08-12 16:25:01.735196,Brute Force,North America,Laptop,1,332,67,0,344,1,-0.179599047258995,10.807193472780313,Low,Normal
EVT000172,2026-08-12 16:33:01.735196,Malware,Africa,Server,4,830,68,0,415,1,-0.1773888490227984,11.395342783457618,Low,Normal
EVT000173,2026-08-12 16:41:01.735196,Unauthorized Access,Oceania,Router,2,219,86,0,201,1,-0.17854707742490367,11.087130051609027,Low,Normal
EVT000174,2026-08-12 16:49:01.735196,Brute Force,Europe,Server,4,128,15,0,376,1,-0.15228835861825535,18.07475999016877,Low,Normal
EVT000175,2026-08-12 16:57:01.735196,Brute Force,Europe,Server,4,384,8,0,406,1,-0.15778810234484486,16.611239465755634,Low,Normal
EVT000176,2026-08-12 17:05:01.735196,Ransomware,Oceania,Firewall,6,558,31,0,391,1,-0.15953097611147227,16.14744848644355,Low,Normal
EVT000177,2026-08-12 17:13:01.735196,Unauthorized Access,North America,Desktop,3,183,10,0,462,1,-0.14306218095314843,20.529910820103765,Low,Normal
EVT000178,2026-08-12 17:21:01.735196,Brute Force,Asia,Server,4,931,29,0,283,1,-0.18181821460175296,10.216657419703592,Low,Normal
EVT000179,2026-08-12 17:29:01.735196,Ransomware,North America,Router,5,690,31,0,208,1,-0.19350451270373697,7.106851222011936,Low,Normal
EVT000180,2026-08-12 17:37:01.735196,Malware,South America,Desktop,2,927,7,0,24,1,-0.1099000440768454,29.35458890777961,Low,Normal
EVT000181,2026-08-12 17:45:01.735196,DDoS,Oceania,Laptop,2,335,88,0,175,1,-0.18302289245761694,9.896084161200827,Low,Normal
EVT000182,2026-08-12 17:53:01.735196,Brute Force,Africa,Desktop,1,825,6,0,404,1,-0.13179528358689768,23.528111529392014,Low,Normal
EVT000183,2026-08-12 18:01:01.735196,Unauthorized Access,South America,Router,3,437,99,0,20,1,-0.12358218251483216,25.713675545754143,Low,Normal
EVT000184,2026-08-12 18:09:01.735196,Brute Force,Africa,Desktop,3,313,55,0,410,1,-0.19449244530151638,6.843955402594629,Low,Normal
EVT000185,2026-08-12 18:17:01.735196,Phishing,North America,Desktop,2,409,90,0,170,1,-0.18604366033360437,9.092236562880645,Low,Normal
EVT000186,2026-08-12 18:25:01.735196,Phishing,South America,Firewall,1,964,6,0,242,1,-0.12361274629859453,25.705542307722762,Low,Normal
EVT000187,2026-08-12 18:33:01.735196,DDoS,Asia,Server,1,215,30,0,203,1,-0.17038551402041857,13.258979531797468,Low,Normal
EVT000188,2026-08-12 18:41:01.735196,Ransomware,Europe,Router,4,527,53,1,326,1,-0.06109207340305378,42.342733517263866,Medium,Normal
EVT000189,2026-08-12 18:49:01.735196,Ransomware,Asia,Desktop,1,873,77,0,425,1,-0.15268200821337063,17.97000706157451,Low,Normal
